"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","A",0
2,3,"heavy_rail","A",0
3,4,"heavy_rail","A",0
4,5,"heavy_rail","A",0
5,6,"heavy_rail","A",0
6,7,"heavy_rail","A",0
7,8,"heavy_rail","A",0
8,9,"heavy_rail","A",0
9,10,"heavy_rail","A",0
10,11,"heavy_rail","A",0
11,12,"heavy_rail","A",0
12,13,"heavy_rail","A",0
13,14,"heavy_rail","A",0
14,15,"heavy_rail","A",0
15,16,"heavy_rail","A",0
16,17,"heavy_rail","A",0
18,19,"light_rail","T1",0
19,20,"light_rail","T1",0
20,21,"light_rail","T1",0
21,22,"light_rail","T1",0
22,23,"light_rail","T1",0
23,24,"light_rail","T1",0
24,25,"light_rail","T1",0
25,26,"light_rail","T1",0
26,27,"light_rail","T1",0
27,28,"light_rail","T1",0
28,29,"light_rail","T1",0
29,30,"light_rail","T1",0
30,31,"light_rail","T1",0
31,32,"light_rail","T1",0
32,33,"light_rail","T1",0
33,34,"light_rail","T1",0
34,35,"light_rail","T1",0
35,36,"light_rail","T1",0
36,37,"light_rail","T1",0
37,38,"light_rail","T1",0
38,39,"light_rail","T1",0
39,46,"light_rail","T1",0
46,48,"light_rail","T1",0
48,50,"light_rail","T1",0
50,52,"light_rail","T1",0
52,54,"light_rail","T1",0
54,56,"light_rail","T1",0
56,58,"light_rail","T1",0
58,60,"light_rail","T1",0
60,62,"light_rail","T1",0
62,64,"light_rail","T1",0
64,66,"light_rail","T1",0
66,68,"light_rail","T1",0
68,70,"light_rail","T1",0
70,72,"light_rail","T1",0
40,41,"light_rail","T2",0
41,42,"light_rail","T2",0
42,43,"light_rail","T2",0
43,44,"light_rail","T2",0
44,45,"light_rail","T2",0
45,46,"light_rail","T2",0
46,48,"light_rail","T2",0
48,50,"light_rail","T2",0
50,52,"light_rail","T2",0
52,54,"light_rail","T2",0
54,56,"light_rail","T2",0
56,58,"light_rail","T2",0
58,60,"light_rail","T2",0
60,62,"light_rail","T2",0
62,64,"light_rail","T2",0
64,66,"light_rail","T2",0
66,68,"light_rail","T2",0
68,70,"light_rail","T2",0
70,72,"light_rail","T2",0
